FID	IID	SexCheck	RecordCheck	RelativeCheck
id207	id207	""	""	""
id208	id208	""	""	""
id209	id209	""	""	remove
id210	id210	""	""	""
id211	id211	""	""	""
id212	id212	""	""	""
id213	id213	""	""	""
id214	id214	""	""	""
id215	id215	""	""	""
id216	id216	""	""	remove
id217	id217	""	""	""
id218	id218	""	""	""
id219	id219	""	""	""
id220	id220	""	""	""
id221	id221	""	""	""
id222	id222	""	""	""
id223	id223	""	""	""
id224	id224	""	""	remove
id225	id225	""	""	""
id226	id226	""	""	""
id227	id227	""	""	""
id228	id228	""	""	""
id229	id229	""	""	""
id230	id230	""	""	""
id231	id231	""	""	""
id232	id232	""	""	""
id233	id233	""	""	""
id234	id234	""	""	""
id235	id235	""	""	""
id236	id236	""	""	remove
id237	id237	""	""	""
id238	id238	""	""	remove
id239	id239	""	""	""
id240	id240	""	""	remove
id241	id241	""	""	""
id242	id242	""	""	remove
id243	id243	""	""	""
id244	id244	""	""	""
id245	id245	""	""	""
id246	id246	""	""	""
id247	id247	""	""	""
id248	id248	""	""	""
id249	id249	""	""	""
id250	id250	""	""	""
id251	id251	""	""	""
id252	id252	""	""	""
id253	id253	""	""	""
id254	id254	""	""	remove
id255	id255	""	""	""
id256	id256	fail	""	remove
id257	id257	""	""	""
id258	id258	""	""	""
id259	id259	""	""	""
id260	id260	""	""	""
id261	id261	""	""	""
id262	id262	""	""	""
id263	id263	""	""	""
id264	id264	""	""	remove
id265	id265	""	""	""
id266	id266	""	""	""
id267	id267	""	""	""
id268	id268	""	""	""
id269	id269	""	""	""
id270	id270	""	""	""
id271	id271	""	""	""
id272	id272	""	""	""
id273	id273	""	""	remove
id274	id274	""	""	""
id275	id275	""	""	""
id276	id276	""	""	remove
id277	id277	""	""	""
id278	id278	""	""	""
id279	id279	""	""	""
id280	id280	""	""	""
id281	id281	""	""	remove
id282	id282	""	""	""
id283	id283	""	""	""
id284	id284	""	""	""
id285	id285	""	""	""
id286	id286	""	""	""
